"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count	Population	Crude Rate
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2004"	"2004"	"Female"	"F"	107	883984	12.1
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2004"	"2004"	"Male"	"M"	149	865386	17.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2005"	"2005"	"Female"	"F"	113	889468	12.7
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2005"	"2005"	"Male"	"M"	167	872029	19.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2006"	"2006"	"Female"	"F"	109	894687	12.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2006"	"2006"	"Male"	"M"	195	878006	22.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2007"	"2007"	"Female"	"F"	129	900106	14.3
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2007"	"2007"	"Male"	"M"	187	883334	21.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2008"	"2008"	"Female"	"F"	156	905814	17.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2008"	"2008"	"Male"	"M"	216	890564	24.3
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2009"	"2009"	"Female"	"F"	125	913619	13.7
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2009"	"2009"	"Male"	"M"	230	899064	25.6
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2010"	"2010"	"Female"	"F"	131	921463	14.2
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2010"	"2010"	"Male"	"M"	230	908128	25.3
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2011"	"2011"	"Female"	"F"	103	926785	11.1
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	"2011"	"2011"	"Male"	"M"	220	914129	24.1
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2002"	"2002"	"Female"	"F"	86	1069764	8.0
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2002"	"2002"	"Male"	"M"	161	1104027	14.6
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2003"	"2003"	"Female"	"F"	102	1108135	9.2
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2003"	"2003"	"Male"	"M"	169	1140715	14.8
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2004"	"2004"	"Female"	"F"	121	1156586	10.5
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2004"	"2004"	"Male"	"M"	193	1189636	16.2
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2005"	"2005"	"Female"	"F"	97	1198846	8.1
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2005"	"2005"	"Male"	"M"	203	1233297	16.5
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2006"	"2006"	"Female"	"F"	117	1243993	9.4
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2006"	"2006"	"Male"	"M"	230	1278665	18.0
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2007"	"2007"	"Female"	"F"	117	1284052	9.1
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2007"	"2007"	"Male"	"M"	254	1317020	19.3
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2008"	"2008"	"Female"	"F"	165	1310601	12.6
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2008"	"2008"	"Male"	"M"	258	1343029	19.2
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2009"	"2009"	"Female"	"F"	153	1327618	11.5
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2009"	"2009"	"Male"	"M"	248	1357047	18.3
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2010"	"2010"	"Female"	"F"	120	1338331	9.0
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2010"	"2010"	"Male"	"M"	248	1364152	18.2
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2011"	"2011"	"Female"	"F"	139	1345187	10.3
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	"2011"	"2011"	"Male"	"M"	246	1367927	18.0
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2002"	"2002"	"Female"	"F"	64	643680	9.9
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2002"	"2002"	"Male"	"M"	103	625409	16.5
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2003"	"2003"	"Female"	"F"	62	648513	9.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2003"	"2003"	"Male"	"M"	122	631327	19.3
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2004"	"2004"	"Female"	"F"	79	653845	12.1
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2004"	"2004"	"Male"	"M"	125	636276	19.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2005"	"2005"	"Female"	"F"	79	657932	12.0
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2005"	"2005"	"Male"	"M"	133	640560	20.8
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2006"	"2006"	"Female"	"F"	74	662773	11.2
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2006"	"2006"	"Male"	"M"	120	645616	18.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2007"	"2007"	"Female"	"F"	82	664987	12.3
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2007"	"2007"	"Male"	"M"	140	647553	21.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2008"	"2008"	"Female"	"F"	77	666576	11.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2008"	"2008"	"Male"	"M"	164	649330	25.3
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2009"	"2009"	"Female"	"F"	95	666875	14.2
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2009"	"2009"	"Male"	"M"	153	649227	23.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2010"	"2010"	"Female"	"F"	84	667248	12.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2010"	"2010"	"Male"	"M"	166	649559	25.6
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2011"	"2011"	"Female"	"F"	78	668935	11.7
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	"2011"	"2011"	"Male"	"M"	147	651509	22.6
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2002"	"2002"	"Female"	"F"	537	4398801	12.2
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2002"	"2002"	"Male"	"M"	785	4153842	18.9
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2003"	"2003"	"Female"	"F"	486	4421964	11.0
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2003"	"2003"	"Male"	"M"	788	4179438	18.9
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2004"	"2004"	"Female"	"F"	564	4436964	12.7
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2004"	"2004"	"Male"	"M"	846	4197597	20.2
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2005"	"2005"	"Female"	"F"	573	4443545	12.9
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2005"	"2005"	"Male"	"M"	881	4208429	20.9
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2006"	"2006"	"Female"	"F"	542	4448099	12.2
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2006"	"2006"	"Male"	"M"	915	4213580	21.7
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2007"	"2007"	"Female"	"F"	554	4455148	12.4
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2007"	"2007"	"Male"	"M"	980	4222737	23.2
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2008"	"2008"	"Female"	"F"	592	4469901	13.2
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2008"	"2008"	"Male"	"M"	968	4241189	22.8
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2009"	"2009"	"Female"	"F"	571	4493506	12.7
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2009"	"2009"	"Male"	"M"	1020	4262096	23.9
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2010"	"2010"	"Female"	"F"	521	4515662	11.5
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2010"	"2010"	"Male"	"M"	942	4283789	22.0
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2011"	"2011"	"Female"	"F"	544	4527643	12.0
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	"2011"	"2011"	"Male"	"M"	1007	4300909	23.4
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2002"	"2002"	"Female"	"F"	76	941856	8.1
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2002"	"2002"	"Male"	"M"	134	913453	14.7
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2003"	"2003"	"Female"	"F"	103	952303	10.8
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2003"	"2003"	"Male"	"M"	132	925271	14.3
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2004"	"2004"	"Female"	"F"	97	964738	10.1
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2004"	"2004"	"Male"	"M"	148	939070	15.8
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2005"	"2005"	"Female"	"F"	91	978520	9.3
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2005"	"2005"	"Male"	"M"	175	953754	18.3
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2006"	"2006"	"Female"	"F"	105	993969	10.6
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2006"	"2006"	"Male"	"M"	178	968168	18.4
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2007"	"2007"	"Female"	"F"	107	1007922	10.6
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2007"	"2007"	"Male"	"M"	174	982148	17.7
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2008"	"2008"	"Female"	"F"	116	1018578	11.4
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2008"	"2008"	"Male"	"M"	179	992084	18.0
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2009"	"2009"	"Female"	"F"	117	1031238	11.3
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2009"	"2009"	"Male"	"M"	170	1005564	16.9
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2010"	"2010"	"Female"	"F"	117	1044296	11.2
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2010"	"2010"	"Male"	"M"	185	1020318	18.1
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2011"	"2011"	"Female"	"F"	132	1052390	12.5
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	"2011"	"2011"	"Male"	"M"	223	1028317	21.7
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2002"	"2002"	"Female"	"F"	1011	9902927	10.2
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2002"	"2002"	"Male"	"M"	1661	9234873	18.0
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2003"	"2003"	"Female"	"F"	1055	9917810	10.6
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2003"	"2003"	"Male"	"M"	1767	9258129	19.1
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2004"	"2004"	"Female"	"F"	1160	9913527	11.7
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2004"	"2004"	"Male"	"M"	1890	9258040	20.4
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2005"	"2005"	"Female"	"F"	1216	9887467	12.3
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2005"	"2005"	"Male"	"M"	1845	9245143	20.0
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2006"	"2006"	"Female"	"F"	1226	9871401	12.4
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2006"	"2006"	"Male"	"M"	2113	9233230	22.9
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2007"	"2007"	"Female"	"F"	1253	9881510	12.7
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2007"	"2007"	"Male"	"M"	2173	9250825	23.5
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2008"	"2008"	"Female"	"F"	1291	9918841	13.0
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2008"	"2008"	"Male"	"M"	2137	9293595	23.0
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2009"	"2009"	"Female"	"F"	1290	9966620	12.9
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2009"	"2009"	"Male"	"M"	2073	9340446	22.2
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2010"	"2010"	"Female"	"F"	1284	10010724	12.8
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2010"	"2010"	"Male"	"M"	2198	9389232	23.4
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2011"	"2011"	"Female"	"F"	1276	10056851	12.7
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	"2011"	"2011"	"Male"	"M"	2300	9443070	24.4
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2002"	"2002"	"Female"	"F"	435	4250179	10.2
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2002"	"2002"	"Male"	"M"	694	4076022	17.0
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2003"	"2003"	"Female"	"F"	471	4313901	10.9
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2003"	"2003"	"Male"	"M"	796	4108600	19.4
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2004"	"2004"	"Female"	"F"	506	4376070	11.6
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2004"	"2004"	"Male"	"M"	938	4177082	22.5
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2005"	"2005"	"Female"	"F"	578	4457189	13.0
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2005"	"2005"	"Male"	"M"	940	4248218	22.1
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2006"	"2006"	"Female"	"F"	595	4563152	13.0
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2006"	"2006"	"Male"	"M"	981	4354118	22.5
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2007"	"2007"	"Female"	"F"	577	4677313	12.3
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2007"	"2007"	"Male"	"M"	1058	4440724	23.8
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2008"	"2008"	"Female"	"F"	582	4771376	12.2
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2008"	"2008"	"Male"	"M"	1072	4538073	23.6
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2009"	"2009"	"Female"	"F"	694	4846501	14.3
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2009"	"2009"	"Male"	"M"	1113	4603065	24.2
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2010"	"2010"	"Female"	"F"	664	4904404	13.5
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2010"	"2010"	"Male"	"M"	1049	4670182	22.5
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2011"	"2011"	"Female"	"F"	742	4952048	15.0
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	"2011"	"2011"	"Male"	"M"	1139	4706865	24.2
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2002"	"2002"	"Female"	"F"	36	319017	11.3
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2002"	"2002"	"Male"	"M"	55	319151	17.2
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2003"	"2003"	"Female"	"F"	40	318896	12.5
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2003"	"2003"	"Male"	"M"	58	319921	18.1
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2004"	"2004"	"Female"	"F"	41	321008	12.8
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2004"	"2004"	"Male"	"M"	70	323697	21.6
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2005"	"2005"	"Female"	"F"	39	321543	12.1
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2005"	"2005"	"Male"	"M"	64	324546	19.7
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2006"	"2006"	"Female"	"F"	44	322583	13.6
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2006"	"2006"	"Male"	"M"	69	326839	21.1
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2007"	"2007"	"Female"	"F"	45	324066	13.9
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2007"	"2007"	"Male"	"M"	70	328756	21.3
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2008"	"2008"	"Female"	"F"	38	326131	11.7
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2008"	"2008"	"Male"	"M"	72	331438	21.7
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2009"	"2009"	"Female"	"F"	56	329674	17.0
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2009"	"2009"	"Male"	"M"	59	335294	17.6
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2010"	"2010"	"Female"	"F"	48	333653	14.4
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2010"	"2010"	"Male"	"M"	76	341099	22.3
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2011"	"2011"	"Female"	"F"	54	338166	16.0
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	"2011"	"2011"	"Male"	"M"	87	347360	25.0
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2002"	"2002"	"Female"	"F"	686	5859385	11.7
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2002"	"2002"	"Male"	"M"	1008	5548504	18.2
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2003"	"2003"	"Female"	"F"	678	5868535	11.6
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2003"	"2003"	"Male"	"M"	977	5566253	17.6
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2004"	"2004"	"Female"	"F"	818	5874411	13.9
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2004"	"2004"	"Male"	"M"	1109	5577840	19.9
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2005"	"2005"	"Female"	"F"	823	5876703	14.0
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2005"	"2005"	"Male"	"M"	1133	5586617	20.3
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2006"	"2006"	"Female"	"F"	790	5883067	13.4
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2006"	"2006"	"Male"	"M"	1142	5598146	20.4
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2007"	"2007"	"Female"	"F"	827	5890965	14.0
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2007"	"2007"	"Male"	"M"	1227	5609503	21.9
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2008"	"2008"	"Female"	"F"	904	5896594	15.3
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2008"	"2008"	"Male"	"M"	1318	5618797	23.5
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2009"	"2009"	"Female"	"F"	901	5902018	15.3
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2009"	"2009"	"Male"	"M"	1349	5626878	24.0
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2010"	"2010"	"Female"	"F"	861	5905286	14.6
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2010"	"2010"	"Male"	"M"	1336	5634163	23.7
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2011"	"2011"	"Female"	"F"	869	5906025	14.7
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	"2011"	"2011"	"Male"	"M"	1344	5639710	23.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2002"	"2002"	"Female"	"F"	178	1769080	10.1
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2002"	"2002"	"Male"	"M"	307	1720000	17.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2003"	"2003"	"Female"	"F"	195	1777723	11.0
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2003"	"2003"	"Male"	"M"	376	1727169	21.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2004"	"2004"	"Female"	"F"	250	1784671	14.0
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2004"	"2004"	"Male"	"M"	347	1740562	19.9
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2005"	"2005"	"Female"	"F"	243	1796475	13.5
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2005"	"2005"	"Male"	"M"	337	1752122	19.2
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2006"	"2006"	"Female"	"F"	236	1818693	13.0
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2006"	"2006"	"Male"	"M"	400	1775397	22.5
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2007"	"2007"	"Female"	"F"	273	1837175	14.9
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2007"	"2007"	"Male"	"M"	404	1797174	22.5
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2008"	"2008"	"Female"	"F"	274	1854771	14.8
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2008"	"2008"	"Male"	"M"	430	1814205	23.7
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2009"	"2009"	"Female"	"F"	285	1878034	15.2
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2009"	"2009"	"Male"	"M"	436	1839538	23.7
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2010"	"2010"	"Female"	"F"	302	1899677	15.9
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2010"	"2010"	"Male"	"M"	438	1860337	23.5
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2011"	"2011"	"Female"	"F"	293	1914243	15.3
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	"2011"	"2011"	"Male"	"M"	439	1874581	23.4
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2002"	"2002"	"Female"	"F"	168	1771126	9.5
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2002"	"2002"	"Male"	"M"	279	1742298	16.0
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2003"	"2003"	"Female"	"F"	196	1788805	11.0
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2003"	"2003"	"Male"	"M"	288	1758571	16.4
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2004"	"2004"	"Female"	"F"	212	1800377	11.8
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2004"	"2004"	"Male"	"M"	314	1769086	17.7
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2005"	"2005"	"Female"	"F"	197	1823447	10.8
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2005"	"2005"	"Male"	"M"	369	1789755	20.6
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2006"	"2006"	"Female"	"F"	228	1853117	12.3
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2006"	"2006"	"Male"	"M"	365	1817766	20.1
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2007"	"2007"	"Female"	"F"	244	1879347	13.0
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2007"	"2007"	"Male"	"M"	350	1843070	19.0
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2008"	"2008"	"Female"	"F"	240	1903535	12.6
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2008"	"2008"	"Male"	"M"	424	1865213	22.7
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2009"	"2009"	"Female"	"F"	258	1923209	13.4
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2009"	"2009"	"Male"	"M"	396	1885391	21.0
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2010"	"2010"	"Female"	"F"	237	1938491	12.2
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2010"	"2010"	"Male"	"M"	409	1899123	21.5
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2011"	"2011"	"Female"	"F"	259	1956689	13.2
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	"2011"	"2011"	"Male"	"M"	411	1915983	21.5
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2002"	"2002"	"Female"	"F"	836	6363832	13.1
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2002"	"2002"	"Male"	"M"	1246	5967199	20.9
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2003"	"2003"	"Female"	"F"	878	6377894	13.8
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2003"	"2003"	"Male"	"M"	1343	5996764	22.4
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2004"	"2004"	"Female"	"F"	883	6390749	13.8
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	"2004"	"2004"	"Male"	"M"	1412	6019973	23.5
